term,total_frequency,document_frequency,df_ratio,is_stopword
the,2236,60,1.0,True
in,932,58,0.9667,True
of,1211,57,0.95,True
and,1067,55,0.9167,True
to,640,53,0.8833,True
is,339,51,0.85,True
by,245,49,0.8167,True
was,402,46,0.7667,True
as,285,45,0.75,True
on,257,45,0.75,True
an,145,44,0.7333,True
at,185,43,0.7167,True
from,236,42,0.7,True
also,110,42,0.7,True
with,219,39,0.65,True
for,275,38,0.6333,True
it,138,36,0.6,True
that,153,30,0.5,True
has,113,30,0.5,True
were,81,30,0.5,True
one,73,30,0.5,True
which,85,29,0.4833,True
this,97,27,0.45,True
had,75,26,0.4333,True
have,56,25,0.4167,True
be,100,24,0.4,True
other,68,24,0.4,True
first,63,24,0.4,True
who,43,24,0.4,True
history,52,23,0.3833,True
new,80,22,0.3667,True
their,53,22,0.3667,True
been,52,22,0.3667,True
between,45,22,0.3667,True
after,38,22,0.3667,True
during,31,22,0.3667,True
see,27,22,0.3667,True
his,144,21,0.35,True
university,72,21,0.35,True
its,59,21,0.35,True
they,54,21,0.35,True
years,45,21,0.35,True
he,181,20,0.3333,True
are,95,20,0.3333,True
or,76,20,0.3333,True
into,62,20,0.3333,True
national,39,20,0.3333,True
including,29,20,0.3333,True
but,58,19,0.3167,True
not,43,19,0.3167,True
under,33,19,0.3167,True
later,29,19,0.3167,True
two,56,18,0.3,True
where,38,18,0.3,True
time,29,18,0.3,True
there,37,17,0.2833,True
year,35,17,0.2833,True
these,30,17,0.2833,True
area,28,17,0.2833,True
known,25,17,0.2833,True
well,24,17,0.2833,True
may,39,16,0.2667,True
only,39,16,0.2667,True
early,28,16,0.2667,True
most,24,16,0.2667,True
three,34,15,0.25,True
used,33,15,0.25,True
some,30,15,0.25,True
when,30,15,0.25,True
about,24,15,0.25,True
part,20,15,0.25,True
american,38,14,0.2333,False
over,36,14,0.2333,False
city,35,14,0.2333,False
no,31,14,0.2333,False
more,30,14,0.2333,False
born,23,14,0.2333,False
family,22,14,0.2333,False
up,20,14,0.2333,False
through,19,14,0.2333,False
south,62,13,0.2167,False
both,31,13,0.2167,False
than,31,13,0.2167,False
such,26,13,0.2167,False
world,26,13,0.2167,False
found,25,13,0.2167,False
high,24,13,0.2167,False
several,22,13,0.2167,False
then,22,13,0.2167,False
since,21,13,0.2167,False
